Lat	Long	CID-S	RSRP-S	CID-N1	CID-N2	CID-N3	CID-N4	CID-N5	CID-N6	RSRP-N1	RSRP-N2	RSRP-N3	RSRP-N4	RSRP-N5	RSRP-N6
33.5745628	130.3708801	309	-99.875	310.0	163.0	82.0	269.0	268.0	204.0	-99.1875	-99.5625	-105.1875	-107.3125	-110.4375	-110.9375
33.5745596	130.3708801	309	-100.4375	310.0	163.0	269.0	82.0	268.0	204.0	-97.9375	-100.75	-104.25	-104.4375	-105.4375	-110.0625
33.5745564	130.3708801	309	-100.0	310.0	163.0	269.0	82.0	268.0	204.0	-98.0625	-102.625	-103.9375	-105.0	-108.625	-109.875
33.5745524	130.3708801	309	-99.75	163.0	310.0	269.0	82.0	268.0	204.0	-99.5	-100.625	-104.375	-104.75	-106.625	-110.5625
33.5745488	130.3708801	309	-100.3125	163.0	310.0	269.0	82.0	268.0	204.0	-98.0	-103.25	-103.8125	-104.8125	-108.6875	-110.875
33.5745387	130.3708801	309	-103.1875	163.0	310.0	82.0	269.0	32.0	268.0	-102.875	-104.3125	-105.0625	-106.0	-107.8125	-108.4375
33.5745333	130.3708801	309	-107.1875	163.0	82.0	310.0	32.0	269.0	268.0	-105.75	-106.0	-106.1875	-107.5625	-108.125	-112.9375
33.5745326	130.3708801	309	-107.875	163.0	269.0	310.0	82.0	32.0	268.0	-106.125	-106.875	-107.5	-108.625	-109.9375	-111.75
33.5745322	130.3708801	309	-108.1875	163.0	310.0	269.0	82.0	32.0	268.0	-104.8125	-107.0	-107.375	-107.875	-108.875	-110.4375
33.5745318	130.3708801	309	-108.6875	163.0	82.0	269.0	310.0	32.0	268.0	-105.25	-106.25	-106.5	-108.0625	-108.4375	-109.6875
33.574331	130.3709298	269	-105.8125	82.0	310.0	32.0	388.0	268.0	276.0	-103.1875	-104.4375	-104.875	-109.625	-112.125	-112.75
33.5743288	130.3709307	269	-104.75	82.0	32.0	310.0	276.0	268.0		-103.125	-103.5	-104.4375	-112.25	-112.625	
33.574324	130.3709326	269	-104.9375	82.0	310.0	32.0	276.0	268.0		-102.625	-103.4375	-103.625	-111.25	-113.75	
33.574321	130.3709338	269	-105.0	82.0	310.0	32.0	268.0	276.0		-102.3125	-103.8125	-104.0625	-111.125	-112.1875	
33.5743177	130.3709352	269	-104.625	310.0	82.0	32.0	276.0	268.0		-101.8125	-102.25	-103.6875	-111.625	-111.875	
33.5743025	130.3709412	310	-100.875	32.0	82.0	269.0	268.0			-101.5625	-102.3125	-108.375	-113.875		
33.5743014	130.3709412	310	-101.0	32.0	82.0	269.0	268.0			-102.5	-103.1875	-110.25	-114.625		
33.5742946	130.3709412	310	-100.0625	32.0	82.0	269.0	276.0	268.0		-102.4375	-104.6875	-107.9375	-112.6875	-116.8125	
33.5742694	130.3709412	310	-97.625	32.0	82.0	269.0	268.0	276.0	135.0	-103.125	-106.5625	-113.125	-116.1875	-116.25	-117.125
33.5737985	130.3711179	310	-99.75	163.0	82.0	32.0	269.0	268.0	135.0	-101.4375	-104.0	-104.25	-107.0	-111.1875	-112.8125
33.5737953	130.3711289	310	-97.625	82.0	32.0	163.0	269.0	268.0	135.0	-103.5625	-104.875	-106.8125	-109.0	-109.3125	-111.5
33.5737953	130.3711317	310	-98.4375	82.0	32.0	163.0	135.0	269.0	268.0	-102.375	-105.6875	-108.75	-109.9375	-110.4375	-110.8125
33.5737956	130.3711408	310	-99.1875	82.0	163.0	32.0	268.0	269.0	135.0	-106.3125	-106.6875	-108.125	-112.0625	-113.1875	-117.5
